Period,CPUAvg,Person:608,Person:319,PersonAttribute:111,Format:45,Person:601,Encounter:381,Person:317,Format:49,Person:314,Person:599,Person:593,Person:606,Patient:52,Person:597
From 1533227454 to 1533227484,76.43,94,206,477,0,1091,25,206,0,245,1185,1186,94,90,1185
From 1533227485 to 1533227514,51.8,128,131,357,0,596,29,131,0,159,724,725,128,60,724
From 1533227515 to 1533227544,68.03,148,202,357,0,948,17,202,0,233,1096,1096,148,45,1096
From 1533227545 to 1533227574,63.5,134,169,311,0,787,23,169,0,208,921,922,134,80,921
From 1533227575 to 1533227604,60.63,196,161,352,0,745,25,161,0,193,941,942,196,69,941
From 1533227605 to 1533227634,48.8,98,142,249,0,650,22,142,0,174,748,748,98,54,748
From 1533227635 to 1533227664,57.4,116,155,287,0,729,27,155,0,192,845,846,116,72,845
From 1533227665 to 1533227695,67.77,144,177,464,0,991,10,177,0,208,1135,1136,144,74,1135
From 1533227696 to 1533227725,52.93,90,155,265,0,692,16,155,0,188,782,783,90,43,782
From 1533227726 to 1533227755,70.47,122,188,547,0,904,17,188,0,218,1026,1027,122,63,1026
From 1533227756 to 1533227785,54.27,122,133,276,0,736,29,133,0,163,858,858,122,79,858
From 1533227786 to 1533227815,55.7,116,159,362,0,728,40,159,0,193,844,845,116,60,844
From 1533227816 to 1533227845,67.7,98,153,412,0,1013,12,153,0,186,1111,1111,98,86,1111
From 1533227846 to 1533227875,59.13,106,141,382,0,749,26,141,0,173,855,855,106,61,855
From 1533227876 to 1533227906,59.57,120,173,328,0,888,24,173,0,207,1008,1008,120,60,1008
From 1533227907 to 1533227936,63.23,104,162,339,0,846,30,162,0,197,950,951,104,84,950
From 1533227937 to 1533227966,46.73,92,131,245,0,626,37,131,0,164,718,719,92,51,718
From 1533227967 to 1533227996,53.17,118,120,303,0,732,37,120,0,157,850,850,118,76,850
From 1533227997 to 1533228026,50.3,154,141,304,0,676,37,141,0,174,830,831,154,60,830
From 1533228027 to 1533228056,60.73,140,156,369,0,804,15,156,0,187,944,944,140,60,944
From 1533228057 to 1533228087,64.33,130,182,371,0,894,22,182,0,216,1024,1024,130,68,1024
From 1533228088 to 1533228117,68.67,110,175,387,0,873,13,175,0,209,983,983,110,77,983
From 1533228118 to 1533228147,48.7,106,132,256,0,668,23,132,0,171,774,775,106,67,774
From 1533228148 to 1533228177,52.5,208,144,342,0,710,27,144,0,176,918,919,208,58,918
From 1533228178 to 1533228207,57.3,90,179,306,0,733,23,179,0,190,823,826,90,67,823
From 1533228208 to 1533228237,51.43,106,136,354,0,820,26,136,0,168,926,926,106,50,926
From 1533228238 to 1533228267,62.87,94,170,291,0,764,27,170,0,206,858,859,94,82,858
From 1533228268 to 1533228298,65.27,90,185,378,0,923,36,185,0,219,1013,1013,90,75,1013
From 1533228299 to 1533228328,51.13,104,150,264,0,672,23,150,0,181,776,776,104,45,776
From 1533228329 to 1533228358,73.23,122,202,493,0,1052,22,202,0,235,1174,1175,122,64,1174
From 1533228359 to 1533228388,66.87,116,186,407,0,773,18,186,0,214,889,889,116,72,889
From 1533228389 to 1533228418,65.63,144,173,316,0,875,25,173,0,208,1019,1020,144,61,1019
From 1533228419 to 1533228448,62.57,128,168,308,0,734,46,168,0,196,862,863,128,91,862
From 1533228449 to 1533228478,62.17,174,164,337,0,777,16,164,0,200,951,951,174,74,951
From 1533228479 to 1533228509,59.93,154,174,331,0,784,30,174,0,208,938,938,154,66,938
From 1533228510 to 1533228539,58.5,106,167,290,0,727,30,167,0,199,833,833,106,70,833
From 1533228540 to 1533228569,54.7,142,146,367,0,796,21,146,0,177,938,939,142,49,938
From 1533228570 to 1533228599,56.37,102,141,336,0,776,25,141,0,176,878,878,102,79,878
From 1533228600 to 1533228629,61.17,120,157,427,0,715,24,157,0,191,835,835,120,69,835
From 1533228630 to 1533228659,61.2,126,151,382,0,913,31,151,0,184,1039,1040,126,57,1039
From 1533228660 to 1533228690,66.57,108,195,329,0,835,29,195,0,226,943,944,108,76,943
From 1533228691 to 1533228720,61.37,72,140,443,0,816,11,140,0,168,888,888,72,56,888
From 1533228721 to 1533228750,65.4,118,148,405,0,703,31,148,0,185,821,821,118,83,821
From 1533228751 to 1533228780,61.1,132,154,308,0,826,12,154,0,188,958,958,132,64,958
From 1533228781 to 1533228810,55.13,120,145,282,0,697,34,145,0,180,817,818,120,77,817
From 1533228811 to 1533228840,57.77,92,125,304,0,723,18,125,0,154,815,816,92,88,815
From 1533228841 to 1533228870,60.83,124,151,353,0,717,20,151,0,182,841,842,124,76,841
From 1533228871 to 1533228901,60.1,130,184,323,0,797,22,184,0,218,927,927,130,59,927
From 1533228902 to 1533228931,55.73,150,141,361,0,744,15,141,0,171,894,895,150,45,894
From 1533228932 to 1533228961,64.13,104,187,352,0,886,18,187,0,220,990,991,104,50,990
From 1533228962 to 1533228991,65.47,138,165,408,0,723,32,165,0,192,861,861,138,75,861
From 1533228992 to 1533229021,57.9,84,144,244,0,802,35,144,0,186,886,887,84,92,886
From 1533229022 to 1533229051,57.67,206,168,371,0,782,21,168,0,199,988,988,206,54,988
From 1533229052 to 1533229081,54.33,92,163,273,0,701,28,163,0,194,793,795,92,50,793
From 1533229082 to 1533229112,55.9,114,159,383,0,824,33,159,0,195,938,939,114,44,938
From 1533229113 to 1533229142,68.83,96,193,317,0,930,10,193,0,225,1026,1027,96,73,1026
From 1533229143 to 1533229172,51.37,76,120,281,0,572,21,120,0,150,648,649,76,57,648
From 1533229173 to 1533229202,59.87,98,174,310,0,878,33,174,0,206,976,976,98,72,976
From 1533229203 to 1533229232,66.8,136,182,408,0,818,21,182,0,220,954,955,136,71,954
From 1533229233 to 1533229262,55.87,120,140,340,0,852,19,140,0,170,972,973,120,51,972
From 1533229263 to 1533229292,53.97,118,128,349,0,732,26,128,0,163,850,851,118,52,850
From 1533229293 to 1533229323,60.0,152,169,325,0,773,41,169,0,205,925,926,152,74,925
From 1533229324 to 1533229353,57.9,166,153,320,0,731,19,153,0,187,897,898,166,69,897
From 1533229354 to 1533229383,62.1,164,187,327,0,798,25,187,0,221,962,962,164,58,962
From 1533229384 to 1533229413,58.63,122,172,311,0,772,33,172,0,205,894,895,122,68,894
From 1533229414 to 1533229443,64.0,120,159,372,0,749,15,159,0,191,869,870,120,78,869
From 1533229444 to 1533229473,64.13,132,181,386,0,977,41,181,0,215,1109,1110,132,77,1109
From 1533229474 to 1533229504,54.83,104,144,275,0,698,27,144,0,179,802,802,104,78,802
From 1533229505 to 1533229534,60.97,128,145,527,0,781,20,145,0,179,909,909,128,49,909
From 1533229535 to 1533229564,54.03,100,149,273,0,695,21,149,0,182,795,796,100,64,795
From 1533229565 to 1533229594,58.43,90,155,343,0,791,43,155,0,187,881,882,90,74,881
From 1533229595 to 1533229624,73.97,116,198,452,0,1022,38,198,0,230,1138,1139,116,65,1138
From 1533229625 to 1533229654,60.27,96,115,292,0,809,26,115,0,151,905,906,96,96,905
From 1533229655 to 1533229684,55.5,112,146,275,0,682,24,146,0,178,794,795,112,65,794
From 1533229685 to 1533229715,50.77,98,147,322,0,792,20,147,0,181,890,891,98,42,890
From 1533229716 to 1533229745,57.47,104,151,330,0,718,32,151,0,186,822,822,104,67,822
From 1533229746 to 1533229775,51.17,124,134,260,0,734,29,134,0,166,858,859,124,59,858
From 1533229776 to 1533229805,55.4,146,133,358,0,648,19,133,0,168,794,794,146,57,794
From 1533229806 to 1533229835,48.57,120,117,293,0,715,48,117,0,154,835,836,120,71,835
From 1533229836 to 1533229865,68.6,124,201,338,0,944,27,201,0,233,1068,1069,124,66,1068
From 1533229866 to 1533229896,51.27,100,114,226,0,660,16,114,0,143,760,761,100,71,760
From 1533229897 to 1533229926,52.2,146,130,288,0,690,23,130,0,169,836,836,146,73,836
From 1533229927 to 1533229956,54.93,166,180,360,0,744,24,180,0,201,910,926,166,56,910
From 1533229957 to 1533229986,60.53,74,170,323,0,704,9,170,0,189,778,778,74,47,778
From 1533229987 to 1533230016,68.0,106,175,340,1,978,33,175,1,214,1084,1085,106,89,1084
From 1533230017 to 1533230046,68.7,92,191,375,0,792,17,191,0,220,884,885,92,65,884
From 1533230047 to 1533230076,43.77,78,124,240,0,714,21,124,0,156,792,792,78,39,792
From 1533230077 to 1533230107,57.43,154,159,320,0,765,31,159,0,199,919,920,154,63,919
From 1533230108 to 1533230137,68.33,126,183,481,0,967,19,183,0,208,1093,1093,126,59,1093
From 1533230138 to 1533230167,56.2,88,127,314,0,690,14,127,0,159,778,778,88,67,778
From 1533230168 to 1533230197,68.23,140,166,314,0,794,25,166,0,207,934,934,140,100,934
From 1533230198 to 1533230227,60.43,150,183,373,0,766,14,183,0,205,916,917,150,45,916
From 1533230228 to 1533230257,58.37,180,177,304,0,783,29,177,0,212,963,963,180,71,963
From 1533230258 to 1533230288,59.33,128,186,327,0,817,21,186,0,223,945,946,128,51,945
From 1533230289 to 1533230318,59.5,116,163,375,0,742,32,163,0,192,858,859,116,65,858
From 1533230319 to 1533230348,60.2,94,163,335,0,907,19,163,0,196,1001,1002,94,62,1001
From 1533230349 to 1533230378,68.0,120,200,353,0,864,33,200,0,233,984,985,120,67,984
From 1533230379 to 1533230408,66.0,112,171,519,0,819,22,171,0,197,931,932,112,65,931
From 1533230409 to 1533230438,59.47,118,124,262,0,769,20,124,0,164,887,887,118,93,887
From 1533230439 to 1533230468,63.47,116,160,374,0,728,21,160,0,191,844,844,116,72,844
From 1533230469 to 1533230499,66.97,104,170,431,0,1038,19,170,0,198,1142,1143,104,60,1142
From 1533230500 to 1533230529,63.23,92,160,388,0,930,34,160,0,199,1022,1022,92,67,1022
From 1533230530 to 1533230559,62.67,128,178,327,0,778,26,178,0,209,906,906,128,57,906
From 1533230560 to 1533230589,51.63,94,148,315,1,775,19,148,1,182,869,869,94,40,869
From 1533230590 to 1533230619,70.3,122,211,354,0,901,23,211,0,245,1023,1024,122,66,1023
From 1533230620 to 1533230649,53.13,114,133,322,0,736,17,133,0,162,850,851,114,58,850
From 1533230650 to 1533230680,60.87,124,191,397,1,817,19,191,1,226,941,941,124,53,941
From 1533230681 to 1533230710,63.73,140,174,320,0,876,31,174,0,208,1016,1017,140,62,1016
From 1533230711 to 1533230740,59.83,100,176,329,0,792,31,176,0,202,892,893,100,48,892
From 1533230741 to 1533230770,64.8,118,163,387,0,858,25,163,0,201,976,976,118,79,976
From 1533230771 to 1533230800,57.2,102,159,287,0,735,23,159,0,193,837,837,102,73,837
From 1533230801 to 1533230830,61.4,198,167,353,0,780,28,167,0,200,978,978,198,77,978
From 1533230831 to 1533230860,44.23,72,138,240,0,567,21,138,0,154,639,656,72,46,639
From 1533230861 to 1533230891,73.7,122,206,439,1,1092,22,206,1,243,1214,1215,122,77,1214
From 1533230892 to 1533230921,54.23,90,144,258,0,644,10,144,0,173,734,734,90,54,734
From 1533230922 to 1533230951,52.1,68,120,288,0,719,28,120,0,156,787,787,68,67,787
From 1533230952 to 1533230981,56.93,134,157,315,0,729,24,157,0,191,863,864,134,62,863
From 1533230982 to 1533231011,57.87,94,146,413,0,762,28,146,0,178,856,856,94,50,856
From 1533231012 to 1533231041,67.17,120,201,424,0,933,26,201,0,234,1053,1053,120,52,1053
From 1533231042 to 1533231071,53.63,114,131,258,0,731,41,131,0,166,845,845,114,58,845
From 1533231072 to 1533231102,55.43,162,154,325,0,718,48,154,0,186,880,880,162,75,880
From 1533231103 to 1533231132,61.1,146,162,309,0,746,31,162,0,197,892,893,146,77,892
From 1533231133 to 1533231162,54.4,142,142,287,1,662,29,142,1,172,804,805,142,78,804
From 1533231163 to 1533231192,57.1,118,174,300,0,747,21,174,0,205,865,866,118,45,865
From 1533231193 to 1533231222,52.93,132,119,326,0,725,35,119,0,154,857,857,132,73,857
From 1533231223 to 1533231252,70.6,126,161,386,0,851,33,161,0,194,977,978,126,112,977
From 1533231253 to 1533231283,59.17,120,156,423,0,703,20,156,0,185,823,823,120,72,823
From 1533231284 to 1533231313,60.6,114,150,363,0,922,28,150,0,189,1036,1036,114,64,1036
From 1533231314 to 1533231343,68.43,132,188,427,0,837,29,188,0,221,969,969,132,76,969
From 1533231344 to 1533231373,57.53,58,133,349,0,793,19,133,0,162,851,851,58,50,851
From 1533231374 to 1533231403,62.37,114,149,391,0,888,10,149,0,181,1002,1002,114,65,1002
From 1533231404 to 1533231433,65.97,124,169,311,0,866,15,169,0,202,990,990,124,66,990
From 1533231434 to 1533231463,51.1,128,149,290,0,699,33,149,0,182,827,828,128,57,827
From 1533231464 to 1533231494,53.9,84,146,322,0,787,27,146,0,179,871,872,84,59,871
From 1533231495 to 1533231524,52.9,90,131,314,0,643,43,131,0,164,733,734,90,68,733
From 1533231525 to 1533231554,72.67,168,186,347,0,854,15,186,0,224,1022,1022,168,116,1022
From 1533231555 to 1533231584,50.97,150,115,350,0,571,22,115,0,142,721,722,150,51,721
From 1533231585 to 1533231614,63.9,76,176,310,0,756,32,176,0,212,832,833,76,79,832
From 1533231615 to 1533231644,61.57,140,165,406,0,740,11,165,0,195,880,880,140,43,880
From 1533231645 to 1533231675,61.5,82,161,259,0,819,21,161,0,197,901,901,82,83,901
From 1533231676 to 1533231705,58.1,186,166,345,0,781,20,166,0,200,967,968,186,66,967
From 1533231706 to 1533231735,55.7,110,137,271,0,683,35,137,0,177,793,795,110,75,793
From 1533231736 to 1533231765,62.73,108,166,340,0,838,13,166,0,200,946,947,108,59,946
From 1533231766 to 1533231795,54.93,78,146,305,0,791,26,146,0,182,869,869,78,67,869
From 1533231796 to 1533231825,60.9,94,161,335,0,709,13,161,0,193,803,804,94,52,803
From 1533231826 to 1533231856,61.27,102,183,316,0,812,26,183,0,215,914,915,102,70,914
From 1533231857 to 1533231886,59.93,136,142,368,0,700,30,142,0,178,836,837,136,90,836
From 1533231887 to 1533231916,59.97,102,166,357,0,912,12,166,0,195,1014,1015,102,45,1014
From 1533231917 to 1533231946,68.57,130,171,387,0,846,25,171,0,201,976,977,130,70,976
From 1533231947 to 1533231976,69.8,138,193,336,0,853,35,193,0,230,991,992,138,87,991
From 1533231977 to 1533232006,60.37,174,172,348,0,770,19,172,0,201,944,945,174,61,944
From 1533232007 to 1533232036,54.23,148,158,299,0,704,28,158,0,189,852,852,148,69,852
From 1533232037 to 1533232067,57.27,138,152,297,0,716,26,152,0,188,854,854,138,68,854
From 1533232068 to 1533232097,58.77,132,149,373,0,743,35,149,0,185,875,876,132,84,875
From 1533232098 to 1533232127,43.73,88,107,275,0,712,27,107,0,137,800,800,88,44,800
From 1533232128 to 1533232157,78.33,134,222,361,0,954,32,222,0,256,1088,1089,134,95,1088
From 1533232158 to 1533232187,57.37,112,148,493,0,754,30,148,0,176,866,867,112,47,866
From 1533232188 to 1533232217,62.83,114,169,305,0,773,16,169,0,204,887,887,114,69,887
From 1533232218 to 1533232248,57.8,114,151,368,0,823,39,151,0,189,937,937,114,69,937
From 1533232249 to 1533232278,60.7,114,138,474,0,848,22,138,0,166,962,963,114,67,962
From 1533232279 to 1533232308,62.13,98,139,317,0,848,19,139,0,172,946,946,98,61,946
From 1533232309 to 1533232338,49.93,108,119,240,0,601,22,119,0,152,709,710,108,62,709
From 1533232339 to 1533232368,64.2,104,166,349,0,852,15,166,0,199,956,957,104,68,956
From 1533232369 to 1533232398,58.73,102,159,286,0,729,25,159,0,192,831,831,102,76,831
From 1533232399 to 1533232429,60.3,110,174,363,0,864,31,174,0,207,974,975,110,67,974
From 1533232430 to 1533232459,63.93,124,187,404,1,790,25,187,1,219,914,915,124,54,914
From 1533232460 to 1533232489,60.93,96,148,267,0,803,21,148,0,184,899,900,96,81,899
From 1533232490 to 1533232519,52.53,122,144,322,0,749,25,144,0,175,871,872,122,41,871
From 1533232520 to 1533232549,64.07,110,164,375,0,818,22,164,0,195,928,928,110,74,928
From 1533232550 to 1533232579,62.07,86,174,281,0,760,24,174,0,206,846,847,86,78,846
From 1533232580 to 1533232609,54.5,192,167,346,0,770,28,167,0,203,962,963,192,45,962
From 1533232610 to 1533232640,49.53,90,119,254,0,616,24,119,0,157,706,723,90,66,706
From 1533232641 to 1533232670,70.3,118,186,412,0,986,23,186,0,218,1104,1105,118,80,1104
From 1533232671 to 1533232700,67.23,82,196,303,0,826,21,196,0,230,908,909,82,72,908
From 1533232701 to 1533232730,48.7,64,108,275,0,656,33,108,0,137,720,721,64,69,720
From 1533232731 to 1533232760,54.8,144,153,304,0,716,32,153,0,186,860,861,144,58,860
From 1533232761 to 1533232790,55.3,92,132,383,0,808,23,132,0,163,900,901,92,56,900
From 1533232791 to 1533232821,64.73,118,179,400,0,767,18,179,0,210,885,885,118,67,885
From 1533232822 to 1533232851,61.0,158,132,288,0,775,29,132,0,169,933,934,158,86,933
From 1533232852 to 1533232881,68.87,164,190,365,0,830,24,190,0,219,994,995,164,72,994
From 1533232882 to 1533232911,57.23,122,168,290,0,731,34,168,0,200,853,853,122,71,853
From 1533232912 to 1533232941,51.73,158,125,287,1,635,21,125,1,157,793,793,158,69,793
From 1533232942 to 1533232971,58.83,108,165,287,0,737,20,165,0,200,845,845,108,63,845
From 1533232972 to 1533233002,53.5,138,146,430,0,806,17,146,0,180,944,945,138,41,944
From 1533233003 to 1533233032,57.7,108,147,269,0,790,16,147,0,182,898,898,108,60,898
From 1533233033 to 1533233062,56.53,118,140,401,0,664,19,140,0,172,782,782,118,55,782
From 1533233063 to 1533233092,59.43,132,172,407,0,966,23,172,0,205,1098,1098,132,47,1098
From 1533233093 to 1533233122,48.07,110,99,238,0,552,14,99,0,130,662,663,110,63,662
From 1533233123 to 1533233152,71.63,98,201,531,0,1129,14,201,0,234,1227,1227,98,32,1227
From 1533233153 to 1533233183,65.57,100,168,406,0,850,26,168,0,202,950,951,100,86,950
From 1533233184 to 1533233213,63.13,140,175,328,0,892,21,175,0,210,1032,1033,140,65,1032
From 1533233214 to 1533233243,50.17,122,121,313,0,609,22,121,0,152,731,732,122,54,731
From 1533233244 to 1533233273,62.53,94,184,301,0,891,22,184,0,218,985,985,94,55,985
From 1533233274 to 1533233303,50.1,112,135,326,0,733,32,135,0,163,845,845,112,48,845
From 1533233304 to 1533233334,66.4,158,201,357,0,870,30,201,0,239,1028,1028,158,78,1028
From 1533233335 to 1533233364,64.53,150,164,399,0,843,27,164,0,195,993,994,150,75,993
From 1533233365 to 1533233394,49.37,82,127,272,0,681,27,127,0,158,763,764,82,57,763
From 1533233395 to 1533233424,60.6,134,165,394,0,746,23,165,0,199,880,881,134,65,880
From 1533233425 to 1533233454,62.5,116,163,294,0,729,4,163,0,193,845,845,116,62,845
From 1533233455 to 1533233484,56.7,188,165,353,0,773,11,165,0,196,961,961,188,50,961
From 1533233485 to 1533233515,49.6,84,166,271,0,687,31,166,0,186,771,773,84,58,771
From 1533233516 to 1533233545,64.7,112,165,404,1,854,19,165,1,200,966,966,112,54,966
From 1533233546 to 1533233575,52.67,78,135,233,0,648,26,135,0,172,726,726,78,74,726
From 1533233576 to 1533233605,55.4,74,137,311,0,727,28,137,0,166,801,801,74,63,801
From 1533233606 to 1533233635,60.77,88,163,266,0,716,10,163,0,198,804,804,88,66,804
From 1533233636 to 1533233665,69.3,144,198,501,0,857,33,198,0,231,1001,1002,144,63,1001
From 1533233666 to 1533233696,62.93,100,176,287,0,847,14,176,0,205,947,948,100,74,947
From 1533233697 to 1533233726,63.83,112,148,370,0,796,45,148,0,184,908,909,112,80,908
From 1533233727 to 1533233756,49.77,160,120,278,0,603,32,120,0,151,763,763,160,64,763
From 1533233757 to 1533233786,59.83,154,184,331,0,812,27,184,0,219,966,967,154,57,966
From 1533233787 to 1533233816,63.6,178,193,368,0,845,26,193,0,227,1023,1023,178,56,1023
From 1533233817 to 1533233847,61.33,116,163,296,0,729,30,163,0,195,845,845,116,88,845
From 1533233848 to 1533233877,63.0,112,158,358,0,734,29,158,0,190,846,846,112,84,846
From 1533233878 to 1533233907,61.93,146,163,383,0,844,35,163,0,198,990,991,146,83,990
From 1533233908 to 1533233937,61.73,110,170,300,0,757,31,170,0,204,867,867,110,71,867
From 1533233938 to 1533233967,53.7,92,133,466,0,815,23,133,0,164,907,907,92,41,907
From 1533233968 to 1533233997,52.1,116,114,237,0,618,15,114,0,150,734,734,116,76,734
From 1533233998 to 1533234028,63.5,108,160,459,0,866,52,160,0,200,974,974,108,91,974
From 1533234029 to 1533234058,71.2,118,150,353,0,885,20,150,0,180,1003,1003,118,73,1003
From 1533234059 to 1533234088,65.7,96,169,344,0,938,11,169,0,202,1034,1034,96,55,1034
From 1533234089 to 1533234118,63.33,122,179,307,0,799,40,179,0,212,921,921,122,75,921
From 1533234119 to 1533234148,53.83,90,145,310,0,772,21,145,0,178,862,863,90,58,862
From 1533234149 to 1533234178,65.3,110,209,400,0,864,42,209,0,239,974,974,110,74,974
From 1533234179 to 1533234209,55.23,132,167,309,0,843,35,167,0,200,975,975,132,54,975
From 1533234210 to 1533234239,57.63,146,131,357,0,621,33,131,0,161,767,768,146,79,767
From 1533234240 to 1533234269,65.9,128,173,319,0,923,39,173,0,215,1051,1052,128,92,1051
From 1533234270 to 1533234299,57.63,110,154,322,0,768,18,154,0,181,878,878,110,55,878
From 1533234300 to 1533234329,56.43,96,142,335,0,736,33,142,0,172,832,833,96,90,832
From 1533234330 to 1533234360,63.83,160,206,382,0,899,36,206,0,240,1059,1060,160,70,1059
From 1533234361 to 1533234390,62.13,154,172,327,0,756,21,172,0,201,910,913,154,75,910
From 1533234391 to 1533234420,49.7,76,137,302,0,623,39,137,0,157,699,699,76,60,699
From 1533234421 to 1533234450,66.0,124,181,364,0,982,37,181,0,216,1106,1107,124,80,1106
From 1533234451 to 1533234480,55.27,90,142,317,0,646,19,142,0,173,736,737,90,53,736
From 1533234481 to 1533234511,58.03,74,139,257,0,799,15,139,0,175,873,874,74,82,873
From 1533234512 to 1533234541,61.43,140,195,344,0,846,41,195,0,230,986,987,140,56,986
From 1533234542 to 1533234571,58.37,96,145,417,0,845,37,145,0,173,941,942,96,64,941
From 1533234572 to 1533234601,59.8,108,149,358,0,688,9,149,0,184,796,797,108,65,796
From 1533234602 to 1533234631,64.57,152,181,335,0,899,25,181,0,215,1051,1051,152,62,1051
From 1533234632 to 1533234661,56.6,148,140,291,0,676,15,140,0,172,824,825,148,65,824
From 1533234662 to 1533234692,54.27,148,141,284,0,680,19,141,0,175,828,829,148,73,828
From 1533234693 to 1533234722,59.57,140,165,304,1,747,25,165,1,198,887,888,140,79,887
From 1533234723 to 1533234752,57.6,114,156,293,0,702,13,156,0,186,816,816,114,60,816
