Period,CPUAvg, person,BaseOpenmrsObject:81
From 1530290199 to 1530290228,100.53,545,23146
From 1530290229 to 1530290258,101.73,554,12129
From 1530290259 to 1530290288,102.2,546,29522
From 1530290289 to 1530290318,100.1,549,20862
From 1530290319 to 1530290348,107,529,28144
From 1530290349 to 1530290379,100.27,600,22891
From 1530290380 to 1530290409,102.83,533,25060
From 1530290410 to 1530290439,101.1,620,19523
From 1530290440 to 1530290469,100.03,533,24676
From 1530290470 to 1530290499,102.87,515,23238
From 1530290500 to 1530290529,109.83,531,34055
From 1530290530 to 1530290559,103.4,562,26447
From 1530290560 to 1530290590,101.93,583,26634
From 1530290591 to 1530290620,107.87,526,28391
From 1530290621 to 1530290650,100.13,545,17919
From 1530290651 to 1530290680,102.77,457,33119
From 1530290681 to 1530290710,103.37,506,27820
From 1530290711 to 1530290740,107.87,541,28348
From 1530290741 to 1530290771,103.9,593,33105
From 1530290772 to 1530290801,102.3,540,27851
From 1530290802 to 1530290831,105.23,539,24406
From 1530290832 to 1530290861,100.93,575,22133
From 1530290862 to 1530290891,104.47,527,28255
From 1530290892 to 1530290921,102.1,520,32383
From 1530290922 to 1530290952,128.73,619,21225
From 1530290953 to 1530290982,100.6,520,22658
From 1530290983 to 1530291012,102.63,538,26467
From 1530291013 to 1530291042,109.1,550,39131
From 1530291043 to 1530291072,98.87,619,14068
From 1530291073 to 1530291102,107.8,534,37369
From 1530291103 to 1530291133,100.5,528,23039
From 1530291134 to 1530291163,97.97,451,28577
From 1530291164 to 1530291193,100.67,498,21459
From 1530291194 to 1530291223,104.3,539,33526
From 1530291224 to 1530291253,102.6,560,26253
From 1530291254 to 1530291283,104.77,511,29816
From 1530291284 to 1530291314,119.63,593,36751
From 1530291315 to 1530291344,101.2,539,24248
From 1530291345 to 1530291374,95.33,527,18842
From 1530291375 to 1530291404,93.9,548,18025
From 1530291405 to 1530291434,99.83,539,25185
From 1530291435 to 1530291464,98.8,527,19665
From 1530291465 to 1530291495,100.2,567,24710
From 1530291496 to 1530291525,104.8,547,29975
From 1530291526 to 1530291555,113.27,590,33330
From 1530291556 to 1530291585,98.97,525,26590
From 1530291586 to 1530291615,113.87,525,28127
From 1530291616 to 1530291646,97,517,23100
From 1530291647 to 1530291676,98.67,497,21353
From 1530291677 to 1530291706,103.7,485,32316
From 1530291707 to 1530291736,99.53,549,19212
From 1530291737 to 1530291766,103.4,580,31192
From 1530291767 to 1530291796,103.37,547,29708
From 1530291797 to 1530291826,100.07,545,22681
From 1530291827 to 1530291857,100.13,575,31193
From 1530291858 to 1530291887,102.33,539,28910
From 1530291888 to 1530291917,102.33,556,26515
From 1530291918 to 1530291947,109.53,539,30289
From 1530291948 to 1530291977,97.67,519,23158
From 1530291978 to 1530292007,96.57,575,19710
From 1530292008 to 1530292038,104.17,591,39157
From 1530292039 to 1530292068,102.17,570,24642
From 1530292069 to 1530292098,107.4,522,27011
From 1530292099 to 1530292128,95.87,513,16112
From 1530292129 to 1530292158,98.13,475,14421
From 1530292159 to 1530292188,97.53,520,22805
From 1530292189 to 1530292219,99.43,555,26517
From 1530292220 to 1530292249,100.87,595,22685
From 1530292250 to 1530292279,101.7,522,26204
From 1530292280 to 1530292309,108.83,536,27723
From 1530292310 to 1530292339,98.17,545,28030
From 1530292340 to 1530292369,98.3,551,21300
From 1530292370 to 1530292399,104.27,574,30417
From 1530292400 to 1530292430,97.83,562,21221
From 1530292431 to 1530292460,99.73,514,23396
From 1530292461 to 1530292490,101.83,536,30173
From 1530292491 to 1530292520,108.07,600,31883
From 1530292521 to 1530292550,96.67,566,10502
From 1530292551 to 1530292580,101.63,516,28138
From 1530292581 to 1530292611,119.03,538,26830
From 1530292612 to 1530292641,84.97,268,25108
From 1530292642 to 1530292671,53.5,269,24
From 1530292672 to 1530292701,109.37,502,24903
From 1530292702 to 1530292731,106.5,498,24643
From 1530292732 to 1530292761,109.3,545,24557
From 1530292762 to 1530292792,101.1,572,29388
From 1530292793 to 1530292822,102.2,552,29658
From 1530292823 to 1530292852,105.37,560,24329
From 1530292853 to 1530292882,100.97,537,30614
From 1530292883 to 1530292912,101.03,569,17913
From 1530292913 to 1530292942,100,498,31999
From 1530292943 to 1530292973,94.5,541,23267
From 1530292974 to 1530293003,94.67,568,22968
From 1530293004 to 1530293033,95.67,536,33849
From 1530293034 to 1530293063,95.13,519,21237
From 1530293064 to 1530293093,104.5,575,34044
From 1530293094 to 1530293123,99.43,465,28415
From 1530293124 to 1530293154,95.03,516,15991
From 1530293155 to 1530293184,96.43,508,17651
From 1530293185 to 1530293214,105.37,558,28149
From 1530293215 to 1530293244,100.27,542,26172
From 1530293245 to 1530293274,99.17,539,20876
From 1530293275 to 1530293304,101.5,558,27642
From 1530293305 to 1530293335,107.17,521,23301
From 1530293336 to 1530293365,99.63,547,21720
From 1530293366 to 1530293395,98.2,582,23193
From 1530293396 to 1530293425,97.43,556,21045
From 1530293426 to 1530293455,106.4,523,22644
From 1530293456 to 1530293485,108.7,566,43124
From 1530293486 to 1530293516,97.3,630,19715
From 1530293517 to 1530293546,100.07,530,28421
From 1530293547 to 1530293576,100.7,486,33121
From 1530293577 to 1530293606,100.73,505,25160
From 1530293607 to 1530293636,103.77,487,21010
From 1530293637 to 1530293666,100.1,499,25214
From 1530293667 to 1530293696,103.3,541,28152
From 1530293697 to 1530293727,99.87,581,22928
From 1530293728 to 1530293757,100.3,548,26254
From 1530293758 to 1530293787,100.83,538,22271
From 1530293788 to 1530293817,101.77,560,24712
From 1530293818 to 1530293847,104.9,547,21037
From 1530293848 to 1530293877,98.67,578,30521
From 1530293878 to 1530293908,101.67,560,21529
From 1530293909 to 1530293938,99.07,541,21154
From 1530293939 to 1530293968,106,518,35962
From 1530293969 to 1530293998,101.37,578,31484
From 1530293999 to 1530294028,102.67,581,31569
From 1530294029 to 1530294058,96.97,528,17428
From 1530294059 to 1530294089,116.5,510,41304
From 1530294090 to 1530294119,106.17,497,30227
From 1530294120 to 1530294149,104.3,456,38417
From 1530294150 to 1530294179,99.47,567,17706
From 1530294180 to 1530294209,98.87,555,26385
From 1530294210 to 1530294239,102.27,512,26198
From 1530294240 to 1530294269,106.7,558,27632
From 1530294270 to 1530294300,101.9,561,26020
From 1530294301 to 1530294330,104.2,570,25829
From 1530294331 to 1530294360,102.6,532,27051
From 1530294361 to 1530294390,103.4,549,26872
From 1530294391 to 1530294420,101.03,551,28652
From 1530294421 to 1530294450,102.9,512,21176
From 1530294451 to 1530294481,115.03,583,32107
From 1530294482 to 1530294511,103.4,582,30349
From 1530294512 to 1530294541,98.77,546,15656
From 1530294542 to 1530294571,102.6,541,26364
From 1530294572 to 1530294601,103.07,505,22964
From 1530294602 to 1530294631,96.37,488,14181
From 1530294632 to 1530294662,107.47,531,34335
From 1530294663 to 1530294692,120.5,499,35573
From 1530294693 to 1530294722,116.63,553,20882
From 1530294723 to 1530294752,99.97,456,29356
From 1530294753 to 1530294782,90.3,476,6914
From 1530294783 to 1530294813,109.5,568,21430
From 1530294814 to 1530294843,108.73,565,19164
From 1530294844 to 1530294873,102.27,551,28649
From 1530294874 to 1530294903,98.97,550,21077
From 1530294904 to 1530294933,97.43,496,23548
From 1530294934 to 1530294963,97.57,559,21705
From 1530294964 to 1530294993,103.6,591,29824
From 1530294994 to 1530295024,99.13,571,21243
From 1530295025 to 1530295054,98.07,525,23169
From 1530295055 to 1530295084,96.5,523,19306
From 1530295085 to 1530295114,104.07,481,20067
From 1530295115 to 1530295144,103.93,516,31688
From 1530295145 to 1530295174,97.47,538,21237
From 1530295175 to 1530295205,104.73,586,35409
From 1530295206 to 1530295235,99.8,535,26473
From 1530295236 to 1530295265,108.9,515,28248
From 1530295266 to 1530295295,103.6,567,29385
From 1530295296 to 1530295325,102.47,536,27066
From 1530295326 to 1530295355,101.3,562,21485
From 1530295356 to 1530295386,101.7,557,28647
From 1530295387 to 1530295416,109.2,501,35555
From 1530295417 to 1530295446,100.33,566,19350
From 1530295447 to 1530295476,108.3,585,33880
From 1530295477 to 1530295506,102.73,462,24740
From 1530295507 to 1530295536,102.7,540,23381
From 1530295537 to 1530295567,104.6,500,28007
From 1530295568 to 1530295597,105.07,515,37813
From 1530295598 to 1530295627,103.23,460,30314
From 1530295628 to 1530295657,95.17,563,14186
From 1530295658 to 1530295687,102.4,569,31312
From 1530295688 to 1530295717,111.27,530,29712
From 1530295718 to 1530295748,96.97,576,20960
From 1530295749 to 1530295778,102.5,546,34596
From 1530295779 to 1530295808,98.2,550,21764
From 1530295809 to 1530295838,96.1,522,19586
From 1530295839 to 1530295868,103.77,609,26463
From 1530295869 to 1530295898,100.93,517,21599
From 1530295899 to 1530295929,103.87,528,25025
From 1530295930 to 1530295959,98.47,611,19786
From 1530295960 to 1530295989,101.7,581,19421
From 1530295990 to 1530296019,100,517,28530
From 1530296020 to 1530296049,100.23,499,23466
From 1530296050 to 1530296079,103.4,487,30622
From 1530296080 to 1530296110,98.4,535,17714
From 1530296111 to 1530296140,106.7,526,25929
From 1530296141 to 1530296170,96.13,579,13907
From 1530296171 to 1530296200,102.73,534,29944
From 1530296201 to 1530296230,100.07,565,24894
From 1530296231 to 1530296261,104.43,566,29576
From 1530296262 to 1530296291,101.8,503,37350
From 1530296292 to 1530296321,107.17,558,30798
From 1530296322 to 1530296351,100.5,565,21484
From 1530296352 to 1530296381,102,522,28715
From 1530296382 to 1530296411,103.4,565,18210
From 1530296412 to 1530296442,100.03,597,26600
From 1530296443 to 1530296472,102.6,549,28902
From 1530296473 to 1530296502,98.57,552,23122
From 1530296503 to 1530296532,99.17,509,16182
From 1530296533 to 1530296562,102.9,489,19134
From 1530296563 to 1530296592,102.1,472,30374
From 1530296593 to 1530296623,103.67,519,26762
From 1530296624 to 1530296653,106.33,552,38386
From 1530296654 to 1530296683,101.2,576,26611
From 1530296684 to 1530296713,99.63,520,26490
From 1530296714 to 1530296743,107.3,520,24309
From 1530296744 to 1530296774,94.97,610,24601
From 1530296775 to 1530296804,100.77,509,28829
From 1530296805 to 1530296834,104.9,545,30485
From 1530296835 to 1530296864,73,323,19799
From 1530296865 to 1530296894,71.47,336,14074
From 1530296895 to 1530296925,66.67,351,21698
From 1530296926 to 1530296955,88.23,341,21418
From 1530296956 to 1530296985,33.17,108,5293
From 1530296986 to 1530297016,59.57,316,14132
From 1530297017 to 1530297047,60,372,12386
From 1530297048 to 1530297077,59.6,316,5400
From 1530297078 to 1530297107,77.93,386,16105
From 1530297108 to 1530297137,52.93,219,12453
From 1530297138 to 1530297168,99.8,581,16236
From 1530297169 to 1530297198,100.23,484,21055
From 1530297199 to 1530297228,96.53,528,19475
From 1530297229 to 1530297258,94.07,423,35182
From 1530297259 to 1530297288,102,537,31425
From 1530297289 to 1530297319,101.53,558,27725
From 1530297320 to 1530297349,87.47,455,26382
From 1530297350 to 1530297379,92.93,566,13515
From 1530297380 to 1530297409,100.9,554,30089
From 1530297410 to 1530297439,83.37,466,23392
From 1530297440 to 1530297470,90.23,544,21306
From 1530297471 to 1530297500,89.23,498,23237
From 1530297501 to 1530297530,92.33,453,30489
From 1530297531 to 1530297560,87.67,472,19234
From 1530297561 to 1530297591,86.1,525,31975
From 1530297592 to 1530297621,89.63,466,28548
From 1530297622 to 1530297651,91.4,531,23541
From 1530297652 to 1530297681,99.13,505,25099
From 1530297682 to 1530297711,99.4,458,27226
From 1530297712 to 1530297742,91.77,505,22854
From 1530297743 to 1530297772,96.43,557,16009
From 1530297773 to 1530297802,93.93,389,40481
From 1530297803 to 1530297832,59.13,278,5140
From 1530297833 to 1530297862,87.73,472,21036
From 1530297863 to 1530297893,99.33,535,24360
From 1530297894 to 1530297923,98.87,604,21358
From 1530297924 to 1530297953,103.8,493,37979
From 1530297954 to 1530297983,103.87,537,21052
From 1530297984 to 1530298014,70.17,352,35844
From 1530298015 to 1530298044,96.7,539,24753
From 1530298045 to 1530298074,105.67,538,33653
From 1530298075 to 1530298104,99.77,571,24717
From 1530298105 to 1530298135,99.8,613,30304
From 1530298136 to 1530298165,101.43,501,26547
From 1530298166 to 1530298195,91.8,412,34302
From 1530298196 to 1530298225,78.03,439,12314
From 1530298226 to 1530298255,95.57,469,19891
From 1530298256 to 1530298286,101.33,523,30122
From 1530298287 to 1530298316,100.4,547,28280
From 1530298317 to 1530298346,97.93,556,22781
From 1530298347 to 1530298376,105.47,482,36885
From 1530298377 to 1530298406,95.03,566,12347
From 1530298407 to 1530298437,101.83,516,43509
From 1530298438 to 1530298467,99.03,563,12559
From 1530298468 to 1530298497,105.93,519,42964
From 1530298498 to 1530298527,94.67,483,37684
From 1530298528 to 1530298557,100.4,543,24775
From 1530298558 to 1530298588,98.37,561,25165
From 1530298589 to 1530298618,103.9,569,30907
From 1530298619 to 1530298648,103.2,561,28421
From 1530298649 to 1530298678,103.4,525,35826
From 1530298679 to 1530298708,93.93,501,17916
From 1530298709 to 1530298739,96.6,484,25286
From 1530298740 to 1530298769,99.63,470,26585
From 1530298770 to 1530298799,95.03,575,12335
From 1530298800 to 1530298829,94.07,526,21101
From 1530298830 to 1530298859,100.4,544,29899
From 1530298860 to 1530298890,98.53,562,25831
From 1530298891 to 1530298920,91.03,446,36000
From 1530298921 to 1530298950,108.37,523,28422
From 1530298951 to 1530298980,95.17,544,26661
From 1530298981 to 1530299010,100.47,567,26631
From 1530299011 to 1530299041,98.2,477,30088
From 1530299042 to 1530299071,70.07,411,16123
From 1530299072 to 1530299101,93.7,529,31904
From 1530299102 to 1530299131,101.7,587,32263
From 1530299132 to 1530299161,92.13,521,26620
From 1530299162 to 1530299192,103.83,449,29684
From 1530299193 to 1530299222,90.47,445,32154
From 1530299223 to 1530299252,82.93,434,15940
From 1530299253 to 1530299282,89.83,377,27088
From 1530299283 to 1530299313,75.87,353,17871
From 1530299314 to 1530299343,82.4,425,19626
From 1530299344 to 1530299373,69.57,314,17644
From 1530299374 to 1530299403,69.73,355,12131
From 1530299404 to 1530299433,83.33,447,17740
From 1530299434 to 1530299463,52.23,217,8668
From 1530299464 to 1530299494,76.43,393,19419
From 1530299495 to 1530299524,63.33,365,11817
From 1530299525 to 1530299554,55,191,22879
From 1530299555 to 1530299584,60.33,366,1780
From 1530299585 to 1530299615,81.67,527,19793
From 1530299616 to 1530299645,99.5,541,24839
From 1530299646 to 1530299675,96.93,535,21209
From 1530299676 to 1530299705,96.2,489,28370
From 1530299706 to 1530299735,96.8,595,21528
From 1530299736 to 1530299765,97.07,563,21124
From 1530299766 to 1530299796,94.5,500,31835
From 1530299797 to 1530299826,98.33,439,26881
From 1530299827 to 1530299856,76.77,422,12431
From 1530299857 to 1530299886,91.8,459,21979
From 1530299887 to 1530299917,91.7,543,19547
From 1530299918 to 1530299947,94.33,521,24586
From 1530299948 to 1530299977,94.43,560,15932
From 1530299978 to 1530300007,91.77,459,25970
From 1530300008 to 1530300037,88.17,443,33782
From 1530300038 to 1530300068,90.77,475,28071
From 1530300069 to 1530300098,97.8,600,22729
From 1530300099 to 1530300128,105.3,516,32585
From 1530300129 to 1530300158,102.27,531,30314
From 1530300159 to 1530300188,83.37,481,19702
From 1530300189 to 1530300219,102.8,506,32061
From 1530300220 to 1530300249,104.17,567,24949
From 1530300250 to 1530300279,97.2,585,25194
From 1530300280 to 1530300309,96,544,19930
From 1530300310 to 1530300340,98.57,561,25488
From 1530300341 to 1530300370,99.43,487,27190
From 1530300371 to 1530300400,102.43,495,30070
From 1530300401 to 1530300430,99.8,500,17743
From 1530300431 to 1530300460,88.67,448,21436
From 1530300461 to 1530300491,95.37,542,31763
From 1530300492 to 1530300521,98.63,534,21223
From 1530300522 to 1530300551,95.53,527,14096
From 1530300552 to 1530300581,102.23,512,35455
From 1530300582 to 1530300612,99.3,568,31539
From 1530300613 to 1530300642,99.1,571,21893
From 1530300643 to 1530300672,95.67,548,17413
From 1530300673 to 1530300702,96.27,535,16189
From 1530300703 to 1530300732,103.7,516,21519
From 1530300733 to 1530300763,102.5,568,28548
From 1530300764 to 1530300793,95.73,521,30839
From 1530300794 to 1530300823,97.77,537,24833
From 1530300824 to 1530300853,97.23,488,35851
From 1530300854 to 1530300883,103.1,515,21394
From 1530300884 to 1530300914,98.63,482,19607
From 1530300915 to 1530300944,101.6,499,32261
From 1530300945 to 1530300974,98.03,560,19569
From 1530300975 to 1530301004,98.3,560,26096
From 1530301005 to 1530301034,99.2,548,19290
From 1530301035 to 1530301065,103.17,534,27980
From 1530301066 to 1530301095,101.9,557,27979
From 1530301096 to 1530301125,106.73,453,32578
From 1530301126 to 1530301155,96.1,587,14497
From 1530301156 to 1530301185,97.13,539,21301
From 1530301186 to 1530301216,96.3,549,16391
From 1530301217 to 1530301246,103.33,532,28528
From 1530301247 to 1530301276,102.43,582,32704
From 1530301277 to 1530301306,99.13,549,21449
From 1530301307 to 1530301336,105.7,498,32633
From 1530301337 to 1530301367,97.87,411,26728
From 1530301368 to 1530301397,70.43,338,19478
From 1530301398 to 1530301427,99.37,443,12519
From 1530301428 to 1530301457,98.8,421,30507
From 1530301458 to 1530301488,83,368,23573
From 1530301489 to 1530301518,88.17,481,15798
From 1530301519 to 1530301548,92.17,464,28305
From 1530301549 to 1530301578,94.3,505,14414
From 1530301579 to 1530301608,101.2,525,29806
From 1530301609 to 1530301639,96.1,593,20859
From 1530301640 to 1530301669,109,523,29308
From 1530301670 to 1530301699,101.63,546,28095
From 1530301700 to 1530301729,99.53,520,26750
From 1530301730 to 1530301759,102.27,488,36120
From 1530301760 to 1530301790,95.63,558,25165
From 1530301791 to 1530301820,88.17,573,21583
From 1530301821 to 1530301850,96.43,533,26474
From 1530301851 to 1530301880,90,473,10581
From 1530301881 to 1530301910,102,466,34127
From 1530301911 to 1530301941,96.33,531,19360
From 1530301942 to 1530301971,99.9,478,24977
From 1530301972 to 1530302001,101.07,545,26692
From 1530302002 to 1530302031,98.47,562,25044
From 1530302032 to 1530302062,106.8,470,38889
From 1530302063 to 1530302092,95.83,586,21206
From 1530302093 to 1530302122,102.3,555,26291
From 1530302123 to 1530302152,108.7,552,31453
From 1530302153 to 1530302182,101.23,526,23520
From 1530302183 to 1530302213,100.6,578,26464
From 1530302214 to 1530302243,102.6,526,28978
From 1530302244 to 1530302273,104.77,499,35452
From 1530302274 to 1530302303,99.6,613,17994
From 1530302304 to 1530302333,99.93,559,22871
From 1530302334 to 1530302364,98.3,549,23181
From 1530302365 to 1530302394,104.73,514,33864
From 1530302395 to 1530302424,102.73,465,33898
From 1530302425 to 1530302454,98.1,475,17840
From 1530302455 to 1530302484,101.27,532,24758
From 1530302485 to 1530302515,100.4,560,30667
From 1530302516 to 1530302545,59.53,197,17717
From 1530302546 to 1530302575,109.93,578,35380
From 1530302576 to 1530302605,106.07,498,29646
From 1530302606 to 1530302636,102.13,609,30276
From 1530302637 to 1530302667,103.83,509,35888
From 1530302668 to 1530302697,107.17,530,38228
From 1530302698 to 1530302727,100.57,556,28667
From 1530302728 to 1530302757,100.33,520,27461
From 1530302758 to 1530302787,92.73,448,27123
From 1530302788 to 1530302818,97.73,574,21503
From 1530302819 to 1530302848,99.27,559,38051
From 1530302849 to 1530302878,107.97,527,32343
From 1530302879 to 1530302908,104.83,465,39208
From 1530302909 to 1530302938,99.97,506,21239
From 1530302939 to 1530302969,103.5,493,29030
From 1530302970 to 1530302999,103.53,489,33854
From 1530303000 to 1530303029,98.27,513,22973
From 1530303030 to 1530303059,102,575,12311
From 1530303060 to 1530303089,92.33,511,26681
From 1530303090 to 1530303120,98.57,558,18179
From 1530303121 to 1530303150,102.77,584,26459
From 1530303151 to 1530303180,102.2,507,27616
From 1530303181 to 1530303210,107.5,542,30561
From 1530303211 to 1530303240,97.37,531,21331
From 1530303241 to 1530303271,103.57,558,30594
From 1530303272 to 1530303301,99.4,534,23331
From 1530303302 to 1530303331,105.43,530,42951
From 1530303332 to 1530303361,107.17,530,26497
From 1530303362 to 1530303391,101.13,519,25264
From 1530303392 to 1530303422,98.9,526,23173
From 1530303423 to 1530303452,96.53,472,18020
From 1530303453 to 1530303482,99.6,513,21584
From 1530303483 to 1530303512,99.8,534,23682
From 1530303513 to 1530303542,100.6,558,23055
From 1530303543 to 1530303573,98.47,563,19515
From 1530303574 to 1530303603,106.9,471,24819
From 1530303604 to 1530303633,79.63,342,19590
From 1530303634 to 1530303663,85.83,405,22753
From 1530303664 to 1530303694,94.43,465,25480
From 1530303695 to 1530303724,88.83,399,30833
From 1530303725 to 1530303754,99.9,480,16420
From 1530303755 to 1530303784,94.23,457,24885
From 1530303785 to 1530303814,102.47,534,18062
From 1530303815 to 1530303845,89.83,503,26582
From 1530303846 to 1530303875,89.5,612,19569
From 1530303876 to 1530303905,102.87,482,32070
From 1530303906 to 1530303935,97.07,540,21397
From 1530303936 to 1530303965,100.03,494,28792
From 1530303966 to 1530303996,98.83,457,23730
From 1530303997 to 1530304026,95.53,498,27022
From 1530304027 to 1530304056,93.57,550,19372
From 1530304057 to 1530304086,94.03,528,19500
From 1530304087 to 1530304116,104.33,485,28438
From 1530304117 to 1530304147,96.97,516,26013
From 1530304148 to 1530304177,99.3,559,19380
From 1530304178 to 1530304207,102.67,522,34479
From 1530304208 to 1530304237,104.97,549,24044
From 1530304238 to 1530304267,103.4,498,41128
From 1530304268 to 1530304298,100.9,556,30620
From 1530304299 to 1530304328,101.83,498,32429
From 1530304329 to 1530304358,104.1,573,28621
From 1530304359 to 1530304388,101.17,574,30536
From 1530304389 to 1530304418,93.33,468,32125
From 1530304419 to 1530304449,107.33,525,30508
From 1530304450 to 1530304479,108.07,489,37700
From 1530304480 to 1530304509,104.6,470,33505
From 1530304510 to 1530304539,105.53,500,32292
From 1530304540 to 1530304569,102.17,570,28231
From 1530304570 to 1530304600,101,526,17867
From 1530304601 to 1530304630,98.7,550,21094
From 1530304631 to 1530304660,96.03,547,14311
From 1530304661 to 1530304690,97.63,587,22542