 CPUAvg, ConceptServiceImpl:972,ConceptServiceImpl:939,ConceptServiceImpl:929,ConceptServiceImpl:298,ConceptServiceImpl:249,ConceptServiceImpl:80,ConceptServiceImpl:325
105.97,0,980,539,48,0,0,0
106.37,0,708,387,50,0,0,0
110.8,0,1101,624,43,1,0,1
106.9,0,1105,616,51,0,0,0
106.4,0,1152,678,48,0,0,0
105.57,0,1124,632,47,0,0,0
105.63,0,1298,678,49,0,0,0
105.87,0,1188,648,48,8,0,8
107.47,0,724,416,55,0,0,0
107.2,0,932,524,63,0,0,0
106.33,0,1150,644,58,0,0,0
108.07,0,1382,756,58,8,0,8
104.93,0,988,566,51,0,0,0
107.93,0,1113,622,53,0,0,0
106.57,0,935,512,61,0,0,0
108.9,0,1028,566,49,0,0,0
105.77,0,1290,736,50,8,0,8
107.43,0,972,546,52,0,0,0
108.27,0,956,530,57,0,0,0
107.97,0,926,546,62,0,0,0
106.67,0,975,518,49,0,0,0
105.47,0,1090,598,58,1,0,1
108.5,0,769,423,50,0,0,0
106.53,0,1295,712,47,0,0,0
107.23,0,1100,611,42,0,0,0
107.1,0,1043,585,52,0,0,0
105.63,0,1231,673,46,1,0,1
106.17,0,1155,632,48,0,0,0
105,0,1200,648,52,0,0,0
107.2,0,965,508,39,0,0,0
106.2,0,1097,628,41,0,0,0
107.67,0,1084,622,62,1,0,1
106.17,0,1072,636,53,0,0,0
107.57,0,804,466,43,0,0,0
106.57,0,1022,550,48,0,0,0
108.67,0,898,523,62,1,0,1
106.77,0,982,507,43,0,0,0
108.2,0,1088,598,47,0,0,0
106.2,0,1184,668,47,0,0,0
102.97,0,1042,536,52,0,0,0
106.87,0,959,538,61,1,0,1
108.53,0,1049,574,42,0,0,0
107.37,0,1208,700,55,0,0,0
105.67,0,1129,659,47,0,0,0
108.43,0,1085,593,55,0,0,0
105.2,0,1080,594,52,1,0,1
106.87,0,760,408,47,0,0,0
107.9,0,903,524,52,0,0,0
107.6,0,996,564,55,0,0,0
107.43,0,1220,688,47,1,0,1
106.63,0,975,560,53,8,0,8
105.13,0,1132,622,52,0,0,0
106,0,950,550,62,0,0,0
106.47,0,1248,690,52,0,0,0
108.4,0,946,560,54,1,0,1
107.73,0,947,537,45,8,0,8
107.3,0,839,472,55,0,0,0
108.93,0,1252,695,46,0,0,0
105.2,0,862,480,52,0,0,0
108.47,0,1101,609,52,1,0,1
107.13,0,831,463,58,1,0,1
105.8,0,1224,727,46,0,0,0
115.3,0,1203,724,42,0,0,0
104.8,0,839,471,44,0,0,0
105.3,0,1305,701,50,0,0,0
103.47,0,984,543,41,8,0,8
105.63,0,1180,699,52,0,0,0
106.97,0,1357,773,44,0,0,0
106.23,0,836,507,53,0,0,0
105.17,0,900,483,52,0,0,0
107.27,0,1204,700,64,8,0,8
106.17,0,1112,609,45,0,0,0
104.6,0,1396,805,42,0,0,0
106.53,0,1324,758,47,0,0,0
106.3,0,1014,578,58,0,0,0
107.1,0,800,444,46,8,0,8
105.63,0,1212,732,44,0,0,0
106.47,0,1065,597,51,0,0,0
103.2,0,1289,709,45,0,0,0
105.03,0,902,462,54,0,0,0
105,0,884,478,57,8,0,8
107.9,0,1008,538,55,0,0,0
106.27,0,908,476,41,0,0,0
103.83,0,1011,574,55,0,0,0
107.27,0,1095,606,49,0,0,0
105.07,0,930,516,55,1,0,1
105.7,0,1059,610,54,0,0,0
106.53,0,1253,696,42,0,0,0
106.6,0,963,558,56,0,0,0
106.33,0,969,532,51,1,0,1
106.43,0,1458,828,49,8,0,8
105.03,0,1262,688,49,0,0,0
103.5,0,988,546,46,0,0,0
106.57,0,1126,662,50,0,0,0
103.87,0,1084,594,53,1,0,1
106.93,0,1104,632,56,0,0,0
108.1,0,1161,680,46,0,0,0
104.47,0,1085,612,54,0,0,0
105.1,0,825,438,52,1,0,1
105.1,0,913,504,44,1,0,1
104.9,0,1012,596,58,0,0,0
105.47,0,1302,718,40,0,0,0
104.53,0,1276,716,47,0,0,0
106.93,0,925,522,54,0,0,0
106.2,0,874,458,54,1,0,1
106.97,0,1009,578,64,0,0,0
105.87,0,1144,628,51,0,0,0
105.37,0,937,489,48,0,0,0
106.8,0,1039,595,49,1,0,1
106.83,0,958,510,60,4,0,4
106.93,0,1063,587,40,4,0,4
104.83,0,1077,619,51,0,0,0
105.97,0,968,540,44,0,0,0
105.3,0,1354,739,45,1,0,1
104.17,0,1038,575,48,8,0,8
105.57,0,849,492,50,0,0,0
105.97,0,1152,681,48,0,0,0
96.5,0,1123,615,48,0,0,0
103.43,0,826,478,58,0,0,0
105.8,0,910,502,57,7,0,7
105.17,0,1112,624,50,1,0,1
101.8,0,749,412,57,0,0,0
101.07,0,904,494,43,0,0,0
105,0,925,526,44,0,0,0
104.97,0,1021,550,65,1,0,1
104.6,0,1013,546,58,0,0,0
107.13,0,1299,718,55,0,0,0
104.87,0,999,530,51,0,0,0
104.13,0,1058,572,52,0,0,0
106.3,0,1212,650,42,1,0,1
104.47,0,1091,579,41,0,0,0
106.03,0,843,469,51,0,0,0
103.57,0,1130,654,39,0,0,0
105.57,0,930,512,43,1,0,1
106.37,0,972,526,54,0,0,0
107.67,0,1178,627,64,8,0,8
105.5,0,1176,681,56,0,0,0
104.83,0,966,536,55,0,0,0
101.27,0,1124,651,57,1,0,1
105.47,0,1030,593,53,0,0,0
105,0,732,410,61,8,0,8
107.67,0,1053,595,52,0,0,0
105.3,0,953,511,53,0,0,0
104.53,0,856,454,46,1,0,1
105.4,0,1084,609,49,0,0,0
104.8,0,1262,689,55,8,0,8
104.67,0,1130,665,43,0,0,0
103.77,0,956,527,62,0,0,0
104.9,0,892,515,45,0,0,0
105.9,0,1074,617,49,0,0,0
104.33,0,1338,702,53,1,0,1
104.93,0,1168,643,52,0,0,0
105.47,0,980,514,46,0,0,0
103.93,0,1072,607,53,0,0,0
105.07,0,1088,650,53,0,0,0
105.07,0,1041,574,40,8,0,8
105.97,0,909,474,53,0,0,0
105.7,0,1000,560,49,0,0,0
103.23,0,870,492,45,0,0,0
106.4,0,1005,578,59,1,0,1
105.17,0,1329,715,44,1,0,1
104.53,0,883,511,59,0,0,0
106.63,0,915,540,55,0,0,0
102.93,0,1144,684,49,0,0,0
105.73,0,932,540,67,0,0,0
105.83,0,980,551,48,1,0,1
104.43,0,1173,627,53,0,0,0
105,0,1187,642,49,0,0,0
102.97,0,902,512,42,0,0,0
104.93,0,824,446,52,0,0,0
105.4,0,998,539,48,1,0,1
104.33,0,1145,675,50,0,0,0
104.87,0,1241,726,47,0,0,0
105.83,0,968,510,48,0,0,0
103.8,0,997,548,51,0,0,0
105.83,0,1015,602,48,1,0,1
105.73,0,1024,590,59,0,0,0
106.2,0,806,461,56,0,0,0
104.9,0,854,497,47,0,0,0
105.43,0,1119,618,58,0,0,0
104.1,0,1045,608,41,8,0,8
106.83,0,1032,565,43,0,0,0
104.67,0,970,543,40,0,0,0
107.9,0,935,538,45,0,0,0
105.2,0,1155,650,40,0,0,0
104.63,0,946,528,59,1,0,1
105.87,0,913,549,46,0,0,0
106.83,0,898,544,53,0,0,0
105.1,0,1197,649,42,0,0,0
102.4,0,1105,591,60,0,0,0
102.67,0,982,525,50,8,0,8
103.93,0,1139,659,46,0,0,0
104,0,1118,614,52,0,0,0
104.07,0,1124,653,46,0,0,0
101.83,0,792,436,51,1,0,1
103.03,0,1072,656,52,1,0,1
104.7,0,954,511,43,0,0,0
103.43,0,926,531,57,0,0,0
103.67,0,892,508,54,0,0,0
104.47,0,812,398,38,0,0,0
104.2,0,1078,626,56,0,0,0
101.87,0,1094,612,62,8,0,8
101.73,0,992,600,59,0,0,0
104,0,1162,675,56,0,0,0
99.6,0,1042,609,48,0,0,0
102.3,0,1151,619,41,1,0,1
102.83,0,1300,784,63,1,0,1
102.93,0,941,529,43,0,0,0
103.6,0,838,504,54,0,0,0
103.87,0,684,349,43,0,0,0
104.67,0,890,505,49,0,0,0
101.43,0,1040,588,56,8,0,8
104.33,0,1000,562,48,0,0,0
104.57,0,1060,604,42,0,0,0
105.33,0,1156,650,38,0,0,0
103.7,0,1058,595,53,0,0,0
103.2,0,1114,621,50,1,0,1
101.83,0,1301,748,49,0,0,0
105.73,0,1005,570,59,0,0,0
101.53,0,1030,590,51,0,0,0
101.23,0,946,517,57,0,0,0
99.1,0,1132,616,39,8,0,8
103.3,0,896,475,47,0,0,0
102.43,0,1068,585,59,0,0,0
101.57,0,939,488,49,0,0,0
102.9,0,1042,585,39,0,0,0
101.4,0,980,518,45,8,0,8
101.3,0,989,552,54,0,0,0
103.57,0,886,514,59,0,0,0
104.4,0,968,564,45,0,0,0
102.03,0,1170,668,54,0,0,0
103.23,0,970,523,55,8,0,8
101.37,0,1302,738,47,0,0,0
104.27,0,1036,601,48,0,0,0
103.17,0,869,470,65,0,0,0
102.47,0,951,536,47,1,0,1
103.6,0,974,534,57,6,0,6
103.57,0,1049,582,45,2,0,2
100.6,0,966,516,62,0,0,0
102.53,0,879,518,50,0,0,0
101.87,0,1305,749,48,0,0,0
103.63,0,971,543,47,0,0,0
103.87,0,1107,609,48,1,0,1
102.4,0,1116,621,56,0,0,0
103.5,0,808,465,47,0,0,0
103.83,0,1247,705,37,0,0,0
102.6,0,1096,586,49,1,0,1
104.87,0,807,454,54,8,0,8
103.73,0,1189,677,49,0,0,0
104.5,0,1000,581,46,0,0,0
102.9,0,1056,572,38,0,0,0
102.93,0,1002,560,46,1,0,1
102.67,0,1104,596,51,1,0,1
102.33,0,943,525,53,0,0,0
101.53,0,747,437,55,0,0,0
101.03,0,876,488,54,0,0,0
102.87,0,829,477,51,0,0,0
101,0,1085,577,46,1,0,1
105.23,0,1012,576,42,0,0,0
104.5,0,973,563,53,0,0,0
102.87,0,748,449,43,0,0,0
103.33,0,1135,615,45,0,0,0
101.83,0,881,461,50,0,0,0
103.17,0,1007,562,45,1,0,1
104.13,0,951,569,63,0,0,0
104.23,0,784,401,61,0,0,0
104.93,0,1213,648,43,0,0,0
103.57,0,1247,698,33,1,0,1
103.03,0,1107,578,34,1,0,1
103.47,0,954,544,46,0,0,0
103.67,0,1111,639,42,0,0,0
102.77,0,1039,593,60,0,0,0
100.73,0,762,444,49,0,0,0
101.33,0,874,456,58,8,0,8
103.1,0,961,542,50,0,0,0
101.73,0,1125,668,52,0,0,0
101.57,0,854,480,43,0,0,0
103.37,0,745,418,57,0,0,0
102.63,0,1119,596,44,8,0,8
101.73,0,818,456,50,0,0,0
103.73,0,1094,594,53,0,0,0
103.33,0,881,531,50,0,0,0
103.77,0,963,549,55,0,0,0
102.3,0,749,418,52,0,0,0
104.43,0,1007,550,54,8,0,8
101.13,0,816,496,44,0,0,0
104.6,0,946,522,42,0,0,0
101.97,0,1060,578,51,0,0,0
100.6,0,899,494,46,1,0,1
105.37,0,1186,669,46,1,0,1
103.3,0,945,581,51,0,0,0
103.23,0,1024,578,53,0,0,0
101.2,0,952,517,45,0,0,0
103.37,0,1035,593,41,0,0,0
103.3,0,1139,648,43,1,0,1
103.03,0,1026,545,53,0,0,0
103.7,0,1062,594,61,0,0,0
103.03,0,1172,691,52,0,0,0
96.07,0,726,398,35,0,0,0
4.37,0,1,0,2,0,0,0
7,0,3,0,0,0,0,0
14.23,0,2,1,0,0,0,0
73.37,0,701,379,33,0,0,0
104.57,0,691,392,55,1,0,1
101.53,0,1059,596,51,0,0,0
101.63,0,1122,604,44,0,0,0
99.7,0,839,470,36,0,0,0
98.87,0,1062,578,45,0,0,0
98.83,0,848,474,46,1,0,1
99.8,0,1160,626,36,0,0,0
101.4,0,1099,647,56,0,0,0
101.13,0,836,492,34,0,0,0
99.83,0,1290,779,49,0,0,0
98.83,0,1075,552,47,0,0,0
97.8,0,816,458,58,1,0,1
94.8,0,1027,585,43,0,0,0
99.8,0,778,446,45,0,0,0
100.27,0,1017,579,44,0,0,0
98.53,0,895,494,39,1,0,1
99.93,0,1149,658,45,4,0,4
103.03,0,960,516,54,4,0,4
104.03,0,1146,698,42,0,0,0
100.9,0,1262,702,48,0,0,0
100.63,0,1090,648,37,0,0,0
103.37,0,801,484,42,0,0,0
103.2,0,799,398,45,1,0,1
98.87,0,1078,636,42,0,0,0
99.5,0,1119,678,44,0,0,0
98.23,0,941,532,45,0,0,0
96.37,0,1026,578,48,0,0,0
95.57,0,1000,508,47,8,0,8
96.43,0,1001,582,53,0,0,0
101.5,0,920,478,52,0,0,0
98.63,0,1107,626,35,0,0,0
97.83,0,1078,598,49,0,0,0
98.87,0,802,456,54,0,0,0
100.23,0,1162,626,46,1,0,1
100.2,0,942,534,43,0,0,0
98.57,0,1051,589,47,0,0,0
97.33,0,683,336,46,0,0,0
98.63,0,976,543,49,0,0,0
101.63,0,1076,582,47,8,0,8
98.53,0,853,454,42,0,0,0
100.13,0,1258,734,34,0,0,0
98.6,0,952,545,43,0,0,0
99.5,0,1128,614,42,0,0,0
99.73,0,1066,573,37,0,0,0
100.13,0,931,542,51,1,0,1
99.63,0,1088,614,55,0,0,0
101.07,0,1077,590,32,0,0,0
97.6,0,799,448,45,0,0,0
99.4,0,1131,671,47,1,0,1
99.37,0,1111,655,52,8,0,8
100.23,0,914,514,41,0,0,0
99.5,0,785,460,41,0,0,0
93.37,0,920,505,53,0,0,0
93.53,0,849,489,44,0,0,0
100.23,0,925,516,39,0,0,0
100,0,1236,700,45,8,0,8
100.53,0,859,492,39,0,0,0
99,0,788,428,49,0,0,0
100.37,0,868,517,44,0,0,0
98.43,0,972,544,51,0,0,0
96.43,0,884,481,43,0,0,0
94.37,0,566,302,49,8,0,8
100.87,0,829,478,44,0,0,0
96.43,0,897,514,52,0,0,0
98.33,0,976,523,46,0,0,0
99.67,0,795,425,48,0,0,0
99.4,0,921,492,45,1,0,1
99.87,0,866,512,47,0,0,0
98.2,0,1040,556,46,0,0,0
100.43,0,965,566,45,0,0,0
99.13,0,1014,533,39,0,0,0
100.47,0,809,429,70,0,0,0
100.87,0,725,429,46,1,0,1
99.5,0,941,539,41,0,0,0
101.9,0,720,414,50,0,0,0
97.93,0,717,418,52,0,0,0
98.17,0,631,356,56,0,0,0
99.57,0,932,532,37,8,0,8
99.93,0,806,470,39,0,0,0
100.3,0,936,544,42,0,0,0
97,0,1010,594,50,0,0,0
98.9,0,792,426,50,0,0,0
99,0,1193,666,59,0,0,0
98.1,0,959,538,43,1,0,1
98.5,0,864,506,46,0,0,0
101.1,0,748,450,44,0,0,0
98.57,0,662,375,57,0,0,0
101.47,0,1146,591,42,0,0,0
101.2,0,1018,520,39,8,0,8
99.83,0,842,496,45,0,0,0
99.5,0,824,460,60,0,0,0
100.03,0,930,507,44,0,0,0
98.27,0,966,499,34,0,0,0
99,0,896,500,54,0,0,0
98.83,0,1210,632,45,1,0,1
95,0,1013,547,32,0,0,0
98.87,0,958,541,48,0,0,0
98.4,0,661,366,54,0,0,0
101.63,0,801,468,43,0,0,0
98.8,0,1000,567,45,1,0,1
98.8,0,953,538,39,0,0,0
98.97,0,1026,555,40,0,0,0
97.57,0,846,453,40,0,0,0
98.07,0,734,395,57,0,0,0
100.57,0,946,498,49,0,0,0
100.67,0,997,560,39,1,0,1
96.87,0,980,551,53,0,0,0
100.53,0,1133,693,45,0,0,0
99.53,0,724,396,45,0,0,0
99.33,0,977,516,53,0,0,0
97.07,0,773,472,53,0,0,0
99.4,0,892,528,44,1,0,1
99.43,0,691,405,38,0,0,0
100.63,0,807,475,44,0,0,0
98.93,0,890,479,41,0,0,0
103.2,0,902,473,43,0,0,0
98.17,0,1050,574,36,8,0,8
99.5,0,1026,552,53,0,0,0
103.33,0,726,420,72,0,0,0
102.1,0,904,516,52,0,0,0
102.23,0,991,559,48,0,0,0
103.7,0,809,439,37,0,0,0
102.27,0,952,486,52,1,0,1
102.87,0,1012,556,41,0,0,0
102.2,0,890,498,55,0,0,0
100.93,0,912,514,43,0,0,0
103.03,0,750,410,43,1,0,1
103.73,0,910,466,65,1,0,1
101.03,0,1084,570,39,0,0,0
103.07,0,981,541,40,0,0,0
101.87,0,1171,673,51,0,0,0
103.43,0,875,489,43,1,0,1
102.03,0,999,559,39,1,0,1
100.17,0,753,406,47,0,0,0
102.1,0,948,529,47,0,0,0
102.67,0,820,457,45,0,0,0
102.2,0,862,492,46,0,0,0
103.13,0,1023,568,40,1,0,1
103.6,0,960,512,49,8,0,8
101.53,0,1020,580,29,0,0,0
103.9,0,1144,678,44,0,0,0
102.47,0,588,323,44,0,0,0
102.27,0,992,570,44,0,0,0
99.3,0,836,453,53,0,0,0
102.7,0,966,526,40,8,0,8
103.07,0,838,477,49,0,0,0
101.1,0,835,454,60,0,0,0
100.87,0,993,593,52,0,0,0
99.97,0,1043,582,36,1,0,1
102.4,0,1002,559,50,1,0,1
103.77,0,937,523,51,0,0,0
102.77,0,794,456,41,0,0,0
103.2,0,971,538,46,0,0,0
101.87,0,971,528,44,0,0,0
103.3,0,950,538,54,1,0,1
103.7,0,896,485,37,0,0,0
103.23,0,1068,581,47,0,0,0
103.23,0,674,389,44,0,0,0
101.83,0,1016,591,30,0,0,0
100.83,0,858,462,39,0,0,0
101.07,0,1206,660,35,8,0,8
100.53,0,1048,626,50,0,0,0
102.1,0,780,432,37,0,0,0
99.87,0,820,432,42,0,0,0
101.4,0,856,464,59,0,0,0
99.97,0,930,537,34,0,0,0
102.8,0,846,469,52,1,0,1
102,0,908,532,52,0,0,0
101.4,0,816,424,42,0,0,0
99.77,0,962,536,47,0,0,0
101.6,0,894,470,47,0,0,0
101,0,890,498,41,8,0,8
98.47,0,1055,604,45,0,0,0
101.4,0,876,503,51,0,0,0
100.87,0,861,477,55,0,0,0
101.4,0,950,538,42,0,0,0
101.23,0,965,508,43,0,0,0